Month,Passengers,Jan,Feb,Mar,apr,may,jun,jul,aug,sep,oct,nov,Dec
Jan-95,112,1,0,0,0,0,0,0,0,0,0,0,0
Feb-95,118,0,1,0,0,0,0,0,0,0,0,0,0
Mar-95,132,0,0,1,0,0,0,0,0,0,0,0,0
Apr-95,129,0,0,0,1,0,0,0,0,0,0,0,0
May-95,121,0,0,0,0,1,0,0,0,0,0,0,0
Jun-95,135,0,0,0,0,0,1,0,0,0,0,0,0
Jul-95,148,0,0,0,0,0,0,1,0,0,0,0,0
Aug-95,148,0,0,0,0,0,0,0,1,0,0,0,0
Sep-95,136,0,0,0,0,0,0,0,0,1,0,0,0
Oct-95,119,0,0,0,0,0,0,0,0,0,1,0,0
Nov-95,104,0,0,0,0,0,0,0,0,0,0,1,0
Dec-95,118,0,0,0,0,0,0,0,0,0,0,0,1
Jan-96,115,1,0,0,0,0,0,0,0,0,0,0,0
Feb-96,126,0,1,0,0,0,0,0,0,0,0,0,0
Mar-96,141,0,0,1,0,0,0,0,0,0,0,0,0
Apr-96,135,0,0,0,1,0,0,0,0,0,0,0,0
May-96,125,0,0,0,0,1,0,0,0,0,0,0,0
Jun-96,149,0,0,0,0,0,1,0,0,0,0,0,0
Jul-96,170,0,0,0,0,0,0,1,0,0,0,0,0
Aug-96,170,0,0,0,0,0,0,0,1,0,0,0,0
Sep-96,158,0,0,0,0,0,0,0,0,1,0,0,0
Oct-96,133,0,0,0,0,0,0,0,0,0,1,0,0
Nov-96,114,0,0,0,0,0,0,0,0,0,0,1,0
Dec-96,140,0,0,0,0,0,0,0,0,0,0,0,1
Jan-97,145,1,0,0,0,0,0,0,0,0,0,0,0
Feb-97,150,0,1,0,0,0,0,0,0,0,0,0,0
Mar-97,178,0,0,1,0,0,0,0,0,0,0,0,0
Apr-97,163,0,0,0,1,0,0,0,0,0,0,0,0
May-97,172,0,0,0,0,1,0,0,0,0,0,0,0
Jun-97,178,0,0,0,0,0,1,0,0,0,0,0,0
Jul-97,199,0,0,0,0,0,0,1,0,0,0,0,0
Aug-97,199,0,0,0,0,0,0,0,1,0,0,0,0
Sep-97,184,0,0,0,0,0,0,0,0,1,0,0,0
Oct-97,162,0,0,0,0,0,0,0,0,0,1,0,0
Nov-97,146,0,0,0,0,0,0,0,0,0,0,1,0
Dec-97,166,0,0,0,0,0,0,0,0,0,0,0,1
Jan-98,171,1,0,0,0,0,0,0,0,0,0,0,0
Feb-98,180,0,1,0,0,0,0,0,0,0,0,0,0
Mar-98,193,0,0,1,0,0,0,0,0,0,0,0,0
Apr-98,181,0,0,0,1,0,0,0,0,0,0,0,0
May-98,183,0,0,0,0,1,0,0,0,0,0,0,0
Jun-98,218,0,0,0,0,0,1,0,0,0,0,0,0
Jul-98,230,0,0,0,0,0,0,1,0,0,0,0,0
Aug-98,242,0,0,0,0,0,0,0,1,0,0,0,0
Sep-98,209,0,0,0,0,0,0,0,0,1,0,0,0
Oct-98,191,0,0,0,0,0,0,0,0,0,1,0,0
Nov-98,172,0,0,0,0,0,0,0,0,0,0,1,0
Dec-98,194,0,0,0,0,0,0,0,0,0,0,0,1
Jan-99,196,1,0,0,0,0,0,0,0,0,0,0,0
Feb-99,196,0,1,0,0,0,0,0,0,0,0,0,0
Mar-99,236,0,0,1,0,0,0,0,0,0,0,0,0
Apr-99,235,0,0,0,1,0,0,0,0,0,0,0,0
May-99,229,0,0,0,0,1,0,0,0,0,0,0,0
Jun-99,243,0,0,0,0,0,1,0,0,0,0,0,0
Jul-99,264,0,0,0,0,0,0,1,0,0,0,0,0
Aug-99,272,0,0,0,0,0,0,0,1,0,0,0,0
Sep-99,237,0,0,0,0,0,0,0,0,1,0,0,0
Oct-99,211,0,0,0,0,0,0,0,0,0,1,0,0
Nov-99,180,0,0,0,0,0,0,0,0,0,0,1,0
Dec-99,201,0,0,0,0,0,0,0,0,0,0,0,1
Jan-00,204,1,0,0,0,0,0,0,0,0,0,0,0
Feb-00,188,0,1,0,0,0,0,0,0,0,0,0,0
Mar-00,235,0,0,1,0,0,0,0,0,0,0,0,0
Apr-00,227,0,0,0,1,0,0,0,0,0,0,0,0
May-00,234,0,0,0,0,1,0,0,0,0,0,0,0
Jun-00,264,0,0,0,0,0,1,0,0,0,0,0,0
Jul-00,302,0,0,0,0,0,0,1,0,0,0,0,0
Aug-00,293,0,0,0,0,0,0,0,1,0,0,0,0
Sep-00,259,0,0,0,0,0,0,0,0,1,0,0,0
Oct-00,229,0,0,0,0,0,0,0,0,0,1,0,0
Nov-00,203,0,0,0,0,0,0,0,0,0,0,1,0
Dec-00,229,0,0,0,0,0,0,0,0,0,0,0,1
Jan-01,242,1,0,0,0,0,0,0,0,0,0,0,0
Feb-01,233,0,1,0,0,0,0,0,0,0,0,0,0
